"mass","density","time","Dynamics"
0,1.97376282853208e-13,"begin","Observed"
0.00962543091099534,2.18437579911823e-13,"begin","Observed"
0.0192508618219907,2.41689947983324e-13,"begin","Observed"
0.028876292732986,2.67355323427245e-13,"begin","Observed"
0.0385017236439814,2.95677509258556e-13,"begin","Observed"
0.0481271545549767,3.26924271267603e-13,"begin","Observed"
0.0577525854659721,3.61389630288759e-13,"begin","Observed"
0.0673780163769674,3.99396368728802e-13,"begin","Observed"
0.0770034472879627,4.41298771159333e-13,"begin","Observed"
0.0866288781989581,4.87485620638789e-13,"begin","Observed"
0.0962543091099534,5.38383474478406e-13,"begin","Observed"
0.105879740020949,5.94460245423309e-13,"begin","Observed"
0.115505170931944,6.56229116709767e-13,"begin","Observed"
0.125130601842939,7.24252822209302e-13,"begin","Observed"
0.134756032753935,7.99148325911521e-13,"begin","Observed"
0.14438146366493,8.8159193836476e-13,"begin","Observed"
0.154006894575925,9.72324911428258e-13,"begin","Observed"
0.163632325486921,1.07215955683636e-12,"begin","Observed"
0.173257756397916,1.18198593868767e-12,"begin","Observed"
0.182883187308912,1.30277919510854e-12,"begin","Observed"
0.192508618219907,1.43560755007067e-12,"begin","Observed"
0.202134049130902,1.58164108274324e-12,"begin","Observed"
0.211759480041898,1.74216132892186e-12,"begin","Observed"
0.221384910952893,1.91857179710028e-12,"begin","Observed"
0.231010341863888,2.11240949075482e-12,"begin","Observed"
0.240635772774884,2.32535753852829e-12,"begin","Observed"
0.250261203685879,2.55925904538489e-12,"begin","Observed"
0.259886634596874,2.81613229063433e-12,"begin","Observed"
0.26951206550787,3.09818741319472e-12,"begin","Observed"
0.279137496418865,3.40784474081049e-12,"begin","Observed"
0.28876292732986,3.74775493842596e-12,"begin","Observed"
0.298388358240856,4.12082117184311e-12,"begin","Observed"
0.308013789151851,4.53022350650525e-12,"begin","Observed"
0.317639220062846,4.97944578814771e-12,"begin","Observed"
0.327264650973842,5.472305282591e-12,"begin","Observed"
0.336890081884837,6.01298538664236e-12,"begin","Observed"
0.346515512795832,6.60607176150748e-12,"begin","Observed"
0.356140943706828,7.25659228497379e-12,"begin","Observed"
0.365766374617823,7.97006126967765e-12,"begin","Observed"
0.375391805528818,8.75252845289414e-12,"begin","Observed"
0.385017236439814,9.61063332948693e-12,"begin","Observed"
0.394642667350809,1.05516654750727e-11,"begin","Observed"
0.404268098261804,1.15836315923863e-11,"begin","Observed"
0.4138935291728,1.27153301117525e-11,"begin","Observed"
0.423518960083795,1.3956434288166e-11,"begin","Observed"
0.43314439099479,1.53175848646382e-11,"begin","Observed"
0.442769821905786,1.68104935163667e-11,"begin","Observed"
0.452395252816781,1.8448058455348e-11,"begin","Observed"
0.462020683727776,2.02444937630668e-11,"begin","Observed"
0.471646114638772,2.22154742329745e-11,"begin","Observed"
0.481271545549767,2.43782977481571e-11,"begin","Observed"
0.490896976460762,2.67520674968692e-11,"begin","Observed"
0.500522407371758,2.93578966439778e-11,"begin","Observed"
0.510147838282753,3.22191384348658e-11,"begin","Observed"
0.519773269193748,3.53616451156942e-11,"begin","Observed"
0.529398700104744,3.88140595164939e-11,"begin","Observed"
0.539024131015739,4.26081436685372e-11,"begin","Observed"
0.548649561926735,4.67791494228544e-11,"begin","Observed"
0.55827499283773,5.13662367116127e-11,"begin","Observed"
0.567900423748725,5.64129458584517e-11,"begin","Observed"
0.577525854659721,6.19677312089415e-11,"begin","Observed"
0.587151285570716,6.80845643307298e-11,"begin","Observed"
0.596776716481711,7.48236161385248e-11,"begin","Observed"
0.606402147392707,8.22520285474376e-11,"begin","Observed"
0.616027578303702,9.0444787666589e-11,"begin","Observed"
0.625653009214697,9.94857121324196e-11,"begin","Observed"
0.635278440125693,1.09468571969059e-10,"begin","Observed"
0.644903871036688,1.20498355374859e-10,"begin","Observed"
0.654529301947683,1.32692703095724e-10,"begin","Observed"
0.664154732858679,1.46183532585757e-10,"begin","Observed"
0.673780163769674,1.61118877005564e-10,"begin","Observed"
0.683405594680669,1.77664967302938e-10,"begin","Observed"
0.693031025591665,1.96008589197671e-10,"begin","Observed"
0.70265645650266,2.1635975089373e-10,"begin","Observed"
0.712281887413655,2.38954701813667e-10,"begin","Observed"
0.721907318324651,2.64059347641905e-10,"begin","Observed"
0.731532749235646,2.9197311253007e-10,"begin","Observed"
0.741158180146641,3.23033305518197e-10,"begin","Observed"
0.750783611057637,3.57620055125103e-10,"begin","Observed"
0.760409041968632,3.96161883729702e-10,"begin","Observed"
0.770034472879627,4.39142001878553e-10,"begin","Observed"
0.779659903790623,4.87105412095834e-10,"begin","Observed"
0.789285334701618,5.40666922228775e-10,"begin","Observed"
0.798910765612613,6.00520179930572e-10,"begin","Observed"
0.808536196523609,6.67447852665976e-10,"begin","Observed"
0.818161627434604,7.42333091733474e-10,"begin","Observed"
0.827787058345599,8.26172434349283e-10,"begin","Observed"
0.837412489256595,9.20090314959329e-10,"begin","Observed"
0.84703792016759,1.02535537576975e-09,"begin","Observed"
0.856663351078585,1.14339878715732e-09,"begin","Observed"
0.866288781989581,1.27583481128971e-09,"begin","Observed"
0.875914212900576,1.42448386711181e-09,"begin","Observed"
0.885539643811571,1.59139838200682e-09,"begin","Observed"
0.895165074722567,1.77889174509646e-09,"begin","Observed"
0.904790505633562,1.98957070948938e-09,"begin","Observed"
0.914415936544558,2.22637162601296e-09,"begin","Observed"
0.924041367455553,2.49260092927385e-09,"begin","Observed"
0.933666798366548,2.79198033849338e-09,"begin","Observed"
0.943292229277544,3.12869728067098e-09,"begin","Observed"
