"winning_formula","ratio_sim","ratio_real","matssname","modelcomplexity","currency","Best fitting model"
"1",0.915765073757089,1.13074873635197,"bbs_rtrg_2_4",1,"Biomass","No trend"
"1",0.847051324019226,0.886862747269961,"bbs_rtrg_4_4",1,"Biomass","No trend"
"1",1.13821802856456,0.96242654737775,"bbs_rtrg_9_4",1,"Biomass","No trend"
"timeperiod",1.95754895782966,1.85091995957899,"bbs_rtrg_10_4",2,"Biomass","Coupled trend"
"1",0.962393846605766,0.799634966291484,"bbs_rtrg_17_4",1,"Biomass","No trend"
"timeperiod",2.19176840405376,2.07779336213902,"bbs_rtrg_22_4",2,"Biomass","Coupled trend"
"timeperiod * source",0.387584759272998,0.836661780426926,"bbs_rtrg_28_4",4,"Biomass","Decoupled trends"
"timeperiod * source",0.729021715057027,1.21124782515282,"bbs_rtrg_29_4",4,"Biomass","Decoupled trends"
"timeperiod * source",0.32942575019013,0.689235482141616,"bbs_rtrg_40_4",4,"Biomass","Decoupled trends"
"1",0.977669780605712,0.681268047367663,"bbs_rtrg_105_4",1,"Biomass","No trend"
"timeperiod",1.72651510466865,1.32548083992546,"bbs_rtrg_115_4",2,"Biomass","Coupled trend"
"1",1.27487696183766,1.19489527572478,"bbs_rtrg_45_11",1,"Biomass","No trend"
"timeperiod",0.688761237956915,0.727958549425971,"bbs_rtrg_208_11",2,"Biomass","Coupled trend"
"1",1.0319809913499,0.870387336918154,"bbs_rtrg_223_11",1,"Biomass","No trend"
"timeperiod",0.62660943924127,0.549132694470106,"bbs_rtrg_255_11",2,"Biomass","Coupled trend"
"1",1.04012346491947,1.23673176842288,"bbs_rtrg_270_11",1,"Biomass","No trend"
"timeperiod",0.607784905948654,0.734915639704239,"bbs_rtrg_2_45",2,"Biomass","Coupled trend"
"timeperiod * source",1.13077294943226,2.42925426046992,"bbs_rtrg_5_45",4,"Biomass","Decoupled trends"
"timeperiod",0.613976581582868,0.714874115373062,"bbs_rtrg_13_45",2,"Biomass","Coupled trend"
"1",0.900587220397962,1.03734977493431,"bbs_rtrg_101_45",1,"Biomass","No trend"
"timeperiod",0.899200737612687,0.779700057322086,"bbs_rtrg_102_45",2,"Biomass","Coupled trend"
"timeperiod",0.716984046044233,0.78478448821729,"bbs_rtrg_103_45",2,"Biomass","Coupled trend"
"timeperiod",0.525753394368771,0.616132318482605,"bbs_rtrg_105_45",2,"Biomass","Coupled trend"
"timeperiod",1.18951372605898,1.25841070694591,"bbs_rtrg_107_45",2,"Biomass","Coupled trend"
"timeperiod * source",0.84153616909132,1.29609249853601,"bbs_rtrg_113_45",4,"Biomass","Decoupled trends"
"timeperiod * source",0.467996983845144,0.851388294912226,"bbs_rtrg_41_56",4,"Biomass","Decoupled trends"
"timeperiod",0.648044926223706,0.55301121249634,"bbs_rtrg_27_65",2,"Biomass","Coupled trend"
