"winning_formula","ratio_sim","ratio_real","matssname","modelcomplexity","currency","Best fitting model"
"timeperiod",0.544223587903762,0.744986322035679,"bbs_rtrg_5_68",2,"Biomass","Coupled trend"
"timeperiod",0.74168932099468,0.924434008525906,"bbs_rtrg_6_68",2,"Biomass","Coupled trend"
"timeperiod * source",0.51659995720554,0.991981198538747,"bbs_rtrg_7_68",4,"Biomass","Decoupled trends"
"1",0.783557038973639,1.12922812472299,"bbs_rtrg_11_68",1,"Biomass","No trend"
"timeperiod * source",0.355685871112178,1.0981739295054,"bbs_rtrg_12_68",4,"Biomass","Decoupled trends"
"timeperiod * source",0.479245587783364,0.935756698666985,"bbs_rtrg_14_68",4,"Biomass","Decoupled trends"
"timeperiod * source",0.584749896083686,1.94085899989863,"bbs_rtrg_15_68",4,"Biomass","Decoupled trends"
"1",0.819626598132559,1.0012226104309,"bbs_rtrg_18_68",1,"Biomass","No trend"
"timeperiod",1.11452744694409,1.42873000737397,"bbs_rtrg_22_68",2,"Biomass","Coupled trend"
"timeperiod * source",0.635356029200495,1.28665441051326,"bbs_rtrg_25_68",4,"Biomass","Decoupled trends"
"timeperiod",1.35238646990304,1.50683436713265,"bbs_rtrg_26_68",2,"Biomass","Coupled trend"
"1",1.03258169844136,1.22198285522274,"bbs_rtrg_28_68",1,"Biomass","No trend"
"1",1.04634464478838,1.41622107557037,"bbs_rtrg_37_68",1,"Biomass","No trend"
"timeperiod",0.555695243922387,0.823849735513426,"bbs_rtrg_54_68",2,"Biomass","Coupled trend"
"timeperiod * source",0.520599291637396,0.839229961541405,"bbs_rtrg_66_68",4,"Biomass","Decoupled trends"
"timeperiod * source",0.797619752470213,2.41990305052374,"bbs_rtrg_113_68",4,"Biomass","Decoupled trends"
"timeperiod",1.13968926293948,1.58297027583306,"bbs_rtrg_117_68",2,"Biomass","Coupled trend"
"timeperiod * source",0.755610128973868,1.28060732965603,"bbs_rtrg_119_68",4,"Biomass","Decoupled trends"
"timeperiod * source",0.869540393169119,1.56704162552203,"bbs_rtrg_203_68",4,"Biomass","Decoupled trends"
"1",1.09873456100279,1.15685477881001,"bbs_rtrg_5_75",1,"Biomass","No trend"
"timeperiod * source",0.761327325202952,1.63722264798006,"bbs_rtrg_1_76",4,"Biomass","Decoupled trends"
"timeperiod * source",0.747341611394779,1.3244424700964,"bbs_rtrg_3_76",4,"Biomass","Decoupled trends"
"timeperiod",0.72092185596602,0.73416817751414,"bbs_rtrg_4_76",2,"Biomass","Coupled trend"
"timeperiod",0.452111859252734,0.519634619336985,"bbs_rtrg_5_76",2,"Biomass","Coupled trend"
"1",0.949631433275124,1.39095322184693,"bbs_rtrg_9_76",1,"Biomass","No trend"
"timeperiod",0.400458057477085,0.468040310660394,"bbs_rtrg_21_76",2,"Biomass","Coupled trend"
"timeperiod",0.70528893913907,0.924592130243911,"bbs_rtrg_22_76",2,"Biomass","Coupled trend"
"timeperiod",0.514426659037134,0.75265925828508,"bbs_rtrg_39_76",2,"Biomass","Coupled trend"
"timeperiod",0.8228391431098,0.532731734861093,"bbs_rtrg_60_76",2,"Biomass","Coupled trend"
"1",0.850688203516598,1.02784913139783,"bbs_rtrg_302_76",1,"Biomass","No trend"
"timeperiod * source",0.915858274932644,1.48896167741375,"bbs_rtrg_306_76",4,"Biomass","Decoupled trends"
"timeperiod * source",1.38336459882363,2.11393436082509,"bbs_rtrg_33_79",4,"Biomass","Decoupled trends"
"1",0.991074977092085,1.10245450437498,"bbs_rtrg_133_79",1,"Biomass","No trend"
"timeperiod * source",0.33962022514582,0.663131354537766,"bbs_rtrg_1_2",4,"Biomass","Decoupled trends"
"1",0.920467427369547,1.20134315780064,"bbs_rtrg_7_2",1,"Biomass","No trend"
"1",1.29559389559868,1.06768650922348,"bbs_rtrg_10_2",1,"Biomass","No trend"
"timeperiod",1.38700631431729,1.85513103904062,"bbs_rtrg_14_2",2,"Biomass","Coupled trend"
"timeperiod * source",0.800681587063771,1.24900071378931,"bbs_rtrg_17_2",4,"Biomass","Decoupled trends"
"1",0.89778398631543,0.955337949515838,"bbs_rtrg_19_2",1,"Biomass","No trend"
"timeperiod",0.573555475609583,0.410374938549145,"bbs_rtrg_20_2",2,"Biomass","Coupled trend"
"timeperiod",0.283381330070318,0.286043844713757,"bbs_rtrg_22_2",2,"Biomass","Coupled trend"
"1",1.10382768329995,1.03494538559931,"bbs_rtrg_24_2",1,"Biomass","No trend"
"1",0.829786517411294,0.882757102153009,"bbs_rtrg_25_2",1,"Biomass","No trend"
"timeperiod",1.99970133543458,1.77667525243318,"bbs_rtrg_27_2",2,"Biomass","Coupled trend"
"timeperiod",1.14894307238719,1.57204759549318,"bbs_rtrg_29_2",2,"Biomass","Coupled trend"
"timeperiod",0.269024552150162,0.292602985831134,"bbs_rtrg_35_2",2,"Biomass","Coupled trend"
"timeperiod",0.43343723687593,0.794816752419054,"bbs_rtrg_43_2",2,"Biomass","Coupled trend"
"timeperiod * source",0.722991009395287,1.34229801349045,"bbs_rtrg_45_2",4,"Biomass","Decoupled trends"
"timeperiod",0.593246286889892,0.632767572506833,"bbs_rtrg_47_2",2,"Biomass","Coupled trend"
"1",1.2200928277956,0.974968111171646,"bbs_rtrg_50_2",1,"Biomass","No trend"
"1",1.00403726132753,1.03447510041247,"bbs_rtrg_53_2",1,"Biomass","No trend"
"timeperiod",0.680447408929913,0.881685604016227,"bbs_rtrg_72_2",2,"Biomass","Coupled trend"
"timeperiod * source",1.25554165420931,3.16342184846031,"bbs_rtrg_105_2",4,"Biomass","Decoupled trends"
"1",1.0999343444299,1.12418574996523,"bbs_rtrg_10_3",1,"Biomass","No trend"
"timeperiod",1.04187508919038,1.55889803622793,"bbs_rtrg_21_3",2,"Biomass","Coupled trend"
"1",1.6003692409635,1.01974734417209,"bbs_rtrg_41_3",1,"Biomass","No trend"
"timeperiod",1.26736891818969,2.05156710097064,"bbs_rtrg_118_3",2,"Biomass","Coupled trend"
"1",0.862222274259306,1.49123450023056,"bbs_rtrg_119_3",1,"Biomass","No trend"
"timeperiod * source",1.14932990905494,2.30283311327181,"bbs_rtrg_224_3",4,"Biomass","Decoupled trends"
"timeperiod * source",0.745426794418592,2.0743980629447,"bbs_rtrg_319_3",4,"Biomass","Decoupled trends"
"timeperiod",0.644074710829395,0.44954235613248,"bbs_rtrg_12_6",2,"Biomass","Coupled trend"
"1",0.948395614944775,0.886388620698729,"bbs_rtrg_14_6",1,"Biomass","No trend"
"1",0.778361469758888,1.07812801336827,"bbs_rtrg_18_6",1,"Biomass","No trend"
"timeperiod",0.605158626239315,0.703084913993962,"bbs_rtrg_28_6",2,"Biomass","Coupled trend"
"1",0.777133962561514,0.838221766105564,"bbs_rtrg_32_6",1,"Biomass","No trend"
"1",0.785197204397414,1.80400298903432,"bbs_rtrg_121_6",1,"Biomass","No trend"
"1",1.06832708378099,1.53218224812798,"bbs_rtrg_122_6",1,"Biomass","No trend"
"timeperiod",0.507281293817683,0.431909507089767,"bbs_rtrg_4_7",2,"Biomass","Coupled trend"
"1",1.05222804681678,0.90776558970404,"bbs_rtrg_5_7",1,"Biomass","No trend"
"1",0.735564330765746,1.08818296987858,"bbs_rtrg_7_7",1,"Biomass","No trend"
"1",0.831868206929812,0.922760486131901,"bbs_rtrg_8_7",1,"Biomass","No trend"
"timeperiod",0.647753793425203,0.578477073495717,"bbs_rtrg_10_7",2,"Biomass","Coupled trend"
"timeperiod",0.579961080637899,0.82592152781257,"bbs_rtrg_13_7",2,"Biomass","Coupled trend"
"1",1.66245435075369,0.876880506177309,"bbs_rtrg_15_7",1,"Biomass","No trend"
"timeperiod",1.28951240988881,1.33054934706936,"bbs_rtrg_19_7",2,"Biomass","Coupled trend"
"timeperiod",1.57643898292687,1.32662728831293,"bbs_rtrg_20_7",2,"Biomass","Coupled trend"
"1",0.970543986032554,0.827826726244654,"bbs_rtrg_22_7",1,"Biomass","No trend"
"1",0.792063804144242,1.11159228132969,"bbs_rtrg_23_7",1,"Biomass","No trend"
"1",0.964792861925577,0.839532545188076,"bbs_rtrg_24_7",1,"Biomass","No trend"
"1",1.16838951476284,1.18438428297723,"bbs_rtrg_26_7",1,"Biomass","No trend"
"timeperiod",0.342765768777423,0.267782173479013,"bbs_rtrg_27_7",2,"Biomass","Coupled trend"
"1",0.841224952691494,1.14738574582417,"bbs_rtrg_28_7",1,"Biomass","No trend"
"1",0.998258654145111,1.06369216156359,"bbs_rtrg_109_7",1,"Biomass","No trend"
"timeperiod * source",0.847428875412934,1.37030326545154,"bbs_rtrg_1_14",4,"Biomass","Decoupled trends"
"1",0.823190939261213,0.872910528981129,"bbs_rtrg_18_14",1,"Biomass","No trend"
"timeperiod",0.787060450818711,0.686740892199933,"bbs_rtrg_21_14",2,"Biomass","Coupled trend"
"1",1.10877444063668,1.67194831005321,"bbs_rtrg_59_14",1,"Biomass","No trend"
"timeperiod",1.07788550611692,1.36925221451631,"bbs_rtrg_71_14",2,"Biomass","Coupled trend"
"timeperiod",0.630521464433242,0.45777619380422,"bbs_rtrg_80_14",2,"Biomass","Coupled trend"
"1",0.621756531119677,1.31039731644478,"bbs_rtrg_88_14",1,"Biomass","No trend"
"timeperiod * source",0.685630510238784,1.96627475121547,"bbs_rtrg_98_14",4,"Biomass","Decoupled trends"
"timeperiod",1.42870238769866,1.66950979581785,"bbs_rtrg_108_14",2,"Biomass","Coupled trend"
"timeperiod",0.633826416306318,0.787998595022861,"bbs_rtrg_137_14",2,"Biomass","Coupled trend"
"timeperiod * source",0.53916641229863,2.07104220641146,"bbs_rtrg_153_14",4,"Biomass","Decoupled trends"
"timeperiod",0.838279953825852,0.856441438448804,"bbs_rtrg_155_14",2,"Biomass","Coupled trend"
"timeperiod",2.05662746275876,1.5950701990507,"bbs_rtrg_166_14",2,"Biomass","Coupled trend"
"1",0.976409318231417,1.30674768856945,"bbs_rtrg_168_14",1,"Biomass","No trend"
"1",0.801348503607371,1.08586409662697,"bbs_rtrg_179_14",1,"Biomass","No trend"
"1",1.0175339740336,1.05452719115787,"bbs_rtrg_185_14",1,"Biomass","No trend"
"timeperiod * source",0.450523937708246,0.813677148264308,"bbs_rtrg_186_14",4,"Biomass","Decoupled trends"
"timeperiod",0.632085822576771,0.862102464926318,"bbs_rtrg_188_14",2,"Biomass","Coupled trend"
"1",1.08843660543407,1.35251003485599,"bbs_rtrg_193_14",1,"Biomass","No trend"
"1",0.975109711627093,0.876766513877678,"bbs_rtrg_198_14",1,"Biomass","No trend"
"timeperiod",1.35256964358695,1.16322580184731,"bbs_rtrg_199_14",2,"Biomass","Coupled trend"
"1",0.867889117557228,1.34708701263849,"bbs_rtrg_1_17",1,"Biomass","No trend"
"timeperiod",0.487927527208036,0.474175714478109,"bbs_rtrg_4_17",2,"Biomass","Coupled trend"
"timeperiod * source",1.03272859957804,1.97901635130879,"bbs_rtrg_9_17",4,"Biomass","Decoupled trends"
"timeperiod",0.727228566103785,0.908908288428173,"bbs_rtrg_11_17",2,"Biomass","Coupled trend"
"1",0.734072237113757,1.03577569865903,"bbs_rtrg_31_17",1,"Biomass","No trend"
"timeperiod * source",0.790222923127164,1.74537503695049,"bbs_rtrg_32_17",4,"Biomass","Decoupled trends"
"timeperiod",1.68501847852491,1.5294495635617,"bbs_rtrg_35_17",2,"Biomass","Coupled trend"
"timeperiod * source",0.917999857900198,1.43926762016257,"bbs_rtrg_37_17",4,"Biomass","Decoupled trends"
"timeperiod",0.613785821896223,0.716517388475398,"bbs_rtrg_40_17",2,"Biomass","Coupled trend"
"timeperiod * source",0.733778192117061,1.29718926702168,"bbs_rtrg_44_17",4,"Biomass","Decoupled trends"
"1",1.16881255641169,1.31735735563375,"bbs_rtrg_47_17",1,"Biomass","No trend"
"timeperiod * source",0.49210683547235,0.910030791567318,"bbs_rtrg_52_17",4,"Biomass","Decoupled trends"
"1",0.976242059198843,1.40624596866028,"bbs_rtrg_55_17",1,"Biomass","No trend"
"timeperiod",0.611988086128038,0.523856535900636,"bbs_rtrg_58_17",2,"Biomass","Coupled trend"
"1",0.802754416965314,0.972092917490316,"bbs_rtrg_207_17",1,"Biomass","No trend"
"timeperiod",1.0012111013876,1.95742379294066,"bbs_rtrg_209_17",2,"Biomass","Coupled trend"
"timeperiod",0.555234851358494,0.86636312991661,"bbs_rtrg_221_17",2,"Biomass","Coupled trend"
"1",0.942690141937603,1.20771069688022,"bbs_rtrg_3_18",1,"Biomass","No trend"
"1",0.953988353902629,0.455654143725831,"bbs_rtrg_8_18",1,"Biomass","No trend"
"1",1.10452665992761,1.08237555660783,"bbs_rtrg_9_18",1,"Biomass","No trend"
"timeperiod",0.838241514120759,0.765759913865601,"bbs_rtrg_1_21",2,"Biomass","Coupled trend"
"1",0.823661353440623,1.06366597531652,"bbs_rtrg_3_21",1,"Biomass","No trend"
"timeperiod",0.521294878834825,0.785044715556407,"bbs_rtrg_109_21",2,"Biomass","Coupled trend"
"timeperiod",0.350565365798745,0.469309400254995,"bbs_rtrg_10_25",2,"Biomass","Coupled trend"
"timeperiod",1.0037908481501,1.40684774954892,"bbs_rtrg_14_25",2,"Biomass","Coupled trend"
"timeperiod",0.528660603549517,0.443142391740593,"bbs_rtrg_15_25",2,"Biomass","Coupled trend"
"timeperiod",0.40970657085871,0.669135108621647,"bbs_rtrg_18_25",2,"Biomass","Coupled trend"
"timeperiod * source",0.422572274351104,0.911841454025261,"bbs_rtrg_20_25",4,"Biomass","Decoupled trends"
"timeperiod",1.30548046132059,1.56858098169568,"bbs_rtrg_21_25",2,"Biomass","Coupled trend"
"timeperiod * source",0.372314280031232,0.763114010502876,"bbs_rtrg_22_25",4,"Biomass","Decoupled trends"
"timeperiod",0.368024433093134,0.517760756980503,"bbs_rtrg_24_25",2,"Biomass","Coupled trend"
"timeperiod",0.196180032596904,0.424094346296732,"bbs_rtrg_25_25",2,"Biomass","Coupled trend"
"timeperiod * source",0.550508349788691,0.922673596215271,"bbs_rtrg_27_25",4,"Biomass","Decoupled trends"
"timeperiod",2.15685114279592,2.77979829408067,"bbs_rtrg_37_25",2,"Biomass","Coupled trend"
"timeperiod",0.573811441719449,0.678923028749157,"bbs_rtrg_53_25",2,"Biomass","Coupled trend"
"timeperiod",0.351975033480569,0.193274897720255,"bbs_rtrg_57_25",2,"Biomass","Coupled trend"
"timeperiod",0.5894961331901,0.715531219791536,"bbs_rtrg_62_25",2,"Biomass","Coupled trend"
"timeperiod * source",0.861237694523346,2.4708888074749,"bbs_rtrg_66_25",4,"Biomass","Decoupled trends"
"1",0.727827254576402,1.2968816549585,"bbs_rtrg_67_25",1,"Biomass","No trend"
"timeperiod * source",0.438251460999307,1.95670444913308,"bbs_rtrg_73_25",4,"Biomass","Decoupled trends"
"timeperiod",0.755207853499098,0.791100577208821,"bbs_rtrg_81_25",2,"Biomass","Coupled trend"
"1",0.705988105219029,1.42504141741073,"bbs_rtrg_86_25",1,"Biomass","No trend"
"1",0.829792798410501,0.923919445622738,"bbs_rtrg_87_25",1,"Biomass","No trend"
"timeperiod * source",0.396602161287259,1.01386891322878,"bbs_rtrg_113_25",4,"Biomass","Decoupled trends"
"timeperiod * source",0.536670742503145,1.17603167765195,"bbs_rtrg_129_25",4,"Biomass","Decoupled trends"
"timeperiod",1.27318015063077,1.600825036121,"bbs_rtrg_10_27",2,"Biomass","Coupled trend"
"1",1.02680799177806,1.13562266711249,"bbs_rtrg_21_27",1,"Biomass","No trend"
"1",0.948976560939056,1.31755527460489,"bbs_rtrg_27_27",1,"Biomass","No trend"
"timeperiod",0.549050984376959,0.591881570169016,"bbs_rtrg_33_27",2,"Biomass","Coupled trend"
"timeperiod",1.25081535862644,1.54769091302815,"bbs_rtrg_36_27",2,"Biomass","Coupled trend"
"timeperiod",1.54344621197057,1.22796799403538,"bbs_rtrg_41_27",2,"Biomass","Coupled trend"
"1",0.732740551483179,1.07377381096425,"bbs_rtrg_46_27",1,"Biomass","No trend"
"timeperiod * source",1.02658863024395,1.78158516491358,"bbs_rtrg_48_27",4,"Biomass","Decoupled trends"
"1",1.04822547065777,1.12453715566806,"bbs_rtrg_50_27",1,"Biomass","No trend"
"timeperiod",1.21931523848706,1.62573513274158,"bbs_rtrg_51_27",2,"Biomass","Coupled trend"
"timeperiod",1.27666107669304,2.28806619815904,"bbs_rtrg_57_27",2,"Biomass","Coupled trend"
"timeperiod",2.21827533133221,3.9597477189108,"bbs_rtrg_2_33",2,"Biomass","Coupled trend"
"timeperiod",3.65883864475682,3.10525998262493,"bbs_rtrg_10_33",2,"Biomass","Coupled trend"
"timeperiod * source",2.95318756774502,6.43555576933292,"bbs_rtrg_14_33",4,"Biomass","Decoupled trends"
"timeperiod",0.416150209491642,0.700196672939186,"bbs_rtrg_20_33",2,"Biomass","Coupled trend"
"timeperiod * source",0.315675384402973,0.530306989733695,"bbs_rtrg_21_33",4,"Biomass","Decoupled trends"
"timeperiod",1.47374092604269,1.41349121804156,"bbs_rtrg_25_33",2,"Biomass","Coupled trend"
"timeperiod * source",0.42266973197886,0.993195558256384,"bbs_rtrg_27_33",4,"Biomass","Decoupled trends"
"1",0.939680049534494,0.962293264279286,"bbs_rtrg_111_33",1,"Biomass","No trend"
"timeperiod",0.436836962864705,0.616955794129652,"bbs_rtrg_128_33",2,"Biomass","Coupled trend"
"timeperiod",0.443635021710688,0.624204056589434,"bbs_rtrg_208_33",2,"Biomass","Coupled trend"
"1",0.758413849249904,0.857954622039209,"bbs_rtrg_212_33",1,"Biomass","No trend"
"timeperiod * source",0.856858211084985,1.87418749399212,"bbs_rtrg_217_33",4,"Biomass","Decoupled trends"
"timeperiod",0.45796402058447,0.414236977659715,"bbs_rtrg_220_33",2,"Biomass","Coupled trend"
"timeperiod * source",0.343609585091594,0.58034564485157,"bbs_rtrg_227_33",4,"Biomass","Decoupled trends"
"1",0.813413835207971,0.968802315408395,"bbs_rtrg_1_34",1,"Biomass","No trend"
"timeperiod",0.596914558670282,0.55939492954128,"bbs_rtrg_2_34",2,"Biomass","Coupled trend"
"timeperiod",0.378364835234725,0.455027651078953,"bbs_rtrg_3_34",2,"Biomass","Coupled trend"
"timeperiod * source",1.01768958851614,0.593870708452965,"bbs_rtrg_9_34",4,"Biomass","Decoupled trends"
"timeperiod",0.823212447564604,0.653954846040169,"bbs_rtrg_10_34",2,"Biomass","Coupled trend"
"timeperiod",0.64440596792174,0.438638563896529,"bbs_rtrg_12_34",2,"Biomass","Coupled trend"
"timeperiod * source",0.797352133127205,0.410571141935609,"bbs_rtrg_14_34",4,"Biomass","Decoupled trends"
"timeperiod",0.483543829461793,0.626345292908484,"bbs_rtrg_20_34",2,"Biomass","Coupled trend"
"1",0.906519120984657,0.89376765641629,"bbs_rtrg_22_34",1,"Biomass","No trend"
"timeperiod",0.626587208271228,0.481439564690238,"bbs_rtrg_23_34",2,"Biomass","Coupled trend"
"timeperiod",1.69109945716501,1.02595314926362,"bbs_rtrg_24_34",2,"Biomass","Coupled trend"
"timeperiod",0.791702509290982,0.694279429715225,"bbs_rtrg_25_34",2,"Biomass","Coupled trend"
"timeperiod",0.888553197268662,0.75937305394605,"bbs_rtrg_29_34",2,"Biomass","Coupled trend"
"timeperiod * source",0.736131381910699,0.471884006428534,"bbs_rtrg_30_34",4,"Biomass","Decoupled trends"
"timeperiod",0.527486390055867,0.370385672293357,"bbs_rtrg_31_34",2,"Biomass","Coupled trend"
"timeperiod * source",0.676835314918096,0.45987190813392,"bbs_rtrg_32_34",4,"Biomass","Decoupled trends"
"timeperiod",0.725501391714519,0.520383419800904,"bbs_rtrg_34_34",2,"Biomass","Coupled trend"
"timeperiod",0.412763787023898,0.442992972531163,"bbs_rtrg_38_34",2,"Biomass","Coupled trend"
"timeperiod",0.54372273038658,0.614975334640246,"bbs_rtrg_41_34",2,"Biomass","Coupled trend"
"timeperiod",0.649893283468895,0.686675788452888,"bbs_rtrg_42_34",2,"Biomass","Coupled trend"
"timeperiod",1.87141664165819,1.77547112728907,"bbs_rtrg_43_34",2,"Biomass","Coupled trend"
"timeperiod",0.435529774000943,0.322510704498879,"bbs_rtrg_44_34",2,"Biomass","Coupled trend"
"timeperiod",1.22463665367665,1.96566769588642,"bbs_rtrg_46_34",2,"Biomass","Coupled trend"
"timeperiod",0.903253693717827,0.670319945243333,"bbs_rtrg_47_34",2,"Biomass","Coupled trend"
"1",1.02511450604593,1.23486010800819,"bbs_rtrg_49_34",1,"Biomass","No trend"
"1",0.909085989953122,1.16150100813348,"bbs_rtrg_50_34",1,"Biomass","No trend"
"1",0.877369033468612,0.733963694543544,"bbs_rtrg_51_34",1,"Biomass","No trend"
"timeperiod",0.64833766936447,0.734564103261403,"bbs_rtrg_52_34",2,"Biomass","Coupled trend"
"timeperiod",0.434660091765787,0.568725442888097,"bbs_rtrg_54_34",2,"Biomass","Coupled trend"
"1",0.804245780495785,1.12398770498557,"bbs_rtrg_59_34",1,"Biomass","No trend"
"1",0.742836545137703,1.19202204295199,"bbs_rtrg_60_34",1,"Biomass","No trend"
"timeperiod * source",0.622533748501189,1.04172201370554,"bbs_rtrg_61_34",4,"Biomass","Decoupled trends"
"timeperiod * source",0.678691727825937,1.16428201919647,"bbs_rtrg_63_34",4,"Biomass","Decoupled trends"
"timeperiod * source",0.702506597267926,1.24586784912818,"bbs_rtrg_5_35",4,"Biomass","Decoupled trends"
"timeperiod",0.539288392501379,0.783576669034045,"bbs_rtrg_9_35",2,"Biomass","Coupled trend"
"timeperiod * source",0.776997462539693,0.493155759947053,"bbs_rtrg_10_35",4,"Biomass","Decoupled trends"
"timeperiod",0.694085653453498,0.479497802235244,"bbs_rtrg_11_35",2,"Biomass","Coupled trend"
"timeperiod",0.784832136081091,0.84053169680705,"bbs_rtrg_13_35",2,"Biomass","Coupled trend"
"1",0.86240405805609,0.954327409808108,"bbs_rtrg_14_35",1,"Biomass","No trend"
"timeperiod",0.664076126636605,0.581986175627597,"bbs_rtrg_21_35",2,"Biomass","Coupled trend"
"timeperiod",1.57479494857067,1.17287556847991,"bbs_rtrg_22_35",2,"Biomass","Coupled trend"
"1",0.817059653593065,1.05165593987482,"bbs_rtrg_26_35",1,"Biomass","No trend"
"timeperiod",0.697210533963447,0.793182413070509,"bbs_rtrg_28_35",2,"Biomass","Coupled trend"
"timeperiod",1.20610776167172,1.27730476046255,"bbs_rtrg_35_35",2,"Biomass","Coupled trend"
"1",0.719749668072012,0.936925815139399,"bbs_rtrg_37_35",1,"Biomass","No trend"
"timeperiod",0.850360231968068,0.890841214326194,"bbs_rtrg_38_35",2,"Biomass","Coupled trend"
"timeperiod",0.725837939968158,0.872033114328594,"bbs_rtrg_39_35",2,"Biomass","Coupled trend"
"timeperiod",0.668788790896419,0.712338984044593,"bbs_rtrg_1_36",2,"Biomass","Coupled trend"
"timeperiod",1.56720164262444,2.30452278968957,"bbs_rtrg_2_36",2,"Biomass","Coupled trend"
"1",0.844026861065859,1.49370933299358,"bbs_rtrg_3_36",1,"Biomass","No trend"
"timeperiod",0.721908615728352,0.633982414365308,"bbs_rtrg_6_36",2,"Biomass","Coupled trend"
"1",0.981345071910419,1.01140182845458,"bbs_rtrg_13_36",1,"Biomass","No trend"
"timeperiod",0.312234897832939,0.328230275995808,"bbs_rtrg_14_36",2,"Biomass","Coupled trend"
"timeperiod",0.648987110411486,0.695090096502797,"bbs_rtrg_17_36",2,"Biomass","Coupled trend"
"1",0.92185881328265,0.826754761703766,"bbs_rtrg_28_36",1,"Biomass","No trend"
"timeperiod",0.523774660978151,0.596145830168018,"bbs_rtrg_32_36",2,"Biomass","Coupled trend"
"timeperiod",0.869808049304791,0.594315934902785,"bbs_rtrg_33_36",2,"Biomass","Coupled trend"
"timeperiod",1.54637667161608,1.47620081352244,"bbs_rtrg_6_38",2,"Biomass","Coupled trend"
"timeperiod",1.71909044508434,2.07952138500526,"bbs_rtrg_7_38",2,"Biomass","Coupled trend"
"timeperiod",0.294743129034802,0.409697279994096,"bbs_rtrg_8_38",2,"Biomass","Coupled trend"
"1",0.990454660787434,0.917061747674186,"bbs_rtrg_10_38",1,"Biomass","No trend"
"timeperiod",0.462640701868353,0.77771616727862,"bbs_rtrg_13_38",2,"Biomass","Coupled trend"
"timeperiod",0.697335428809675,0.90024627531807,"bbs_rtrg_14_38",2,"Biomass","Coupled trend"
"timeperiod * source",0.579184186279589,1.60689167849288,"bbs_rtrg_15_38",4,"Biomass","Decoupled trends"
"timeperiod",1.40337781382617,2.35409912223474,"bbs_rtrg_16_38",2,"Biomass","Coupled trend"
"1",0.844377216575502,1.04077360803009,"bbs_rtrg_17_38",1,"Biomass","No trend"
"timeperiod",4.20156920962192,4.2684466991499,"bbs_rtrg_21_38",2,"Biomass","Coupled trend"
"timeperiod",0.732380992705351,0.780081410613289,"bbs_rtrg_26_38",2,"Biomass","Coupled trend"
"timeperiod",1.43517352173393,1.89913216522869,"bbs_rtrg_27_38",2,"Biomass","Coupled trend"
