"matssname","source","biomass_ratio","Dynamics"
"bbs_rtrg_109_85","ratio_sim",0.573083530507953,"Abundance driven"
"bbs_rtrg_109_85","ratio_real",0.573083530507953,"Observed"
"bbs_rtrg_11_17","ratio_sim",0.809170198185359,"Abundance driven"
"bbs_rtrg_11_17","ratio_real",0.809170198185359,"Observed"
"bbs_rtrg_11_35","ratio_sim",0.579723423027887,"Abundance driven"
"bbs_rtrg_11_35","ratio_real",0.579723423027887,"Observed"
"bbs_rtrg_11_46","ratio_sim",1.023172438376,"Abundance driven"
"bbs_rtrg_11_46","ratio_real",0.50691749000357,"Observed"
"bbs_rtrg_11_52","ratio_sim",0.770560743465028,"Abundance driven"
"bbs_rtrg_11_52","ratio_real",0.770560743465028,"Observed"
"bbs_rtrg_11_64","ratio_sim",1.16308647025357,"Abundance driven"
"bbs_rtrg_11_64","ratio_real",1.7971936460621,"Observed"
"bbs_rtrg_11_67","ratio_sim",0.454218846452075,"Abundance driven"
"bbs_rtrg_11_67","ratio_real",0.994086081650899,"Observed"
"bbs_rtrg_11_91","ratio_sim",1.28089930195291,"Abundance driven"
"bbs_rtrg_11_91","ratio_real",1.28089930195291,"Observed"
"bbs_rtrg_111_60","ratio_sim",1.31969564395196,"Abundance driven"
"bbs_rtrg_111_60","ratio_real",1.31969564395196,"Observed"
"bbs_rtrg_111_61","ratio_sim",0.580176331127721,"Abundance driven"
"bbs_rtrg_111_61","ratio_real",0.580176331127721,"Observed"
"bbs_rtrg_111_89","ratio_sim",1.45139607176771,"Abundance driven"
"bbs_rtrg_111_89","ratio_real",1.45139607176771,"Observed"
"bbs_rtrg_113_25","ratio_sim",0.396602161287259,"Abundance driven"
"bbs_rtrg_113_25","ratio_real",1.01386891322878,"Observed"
"bbs_rtrg_113_45","ratio_sim",0.84153616909132,"Abundance driven"
"bbs_rtrg_113_45","ratio_real",1.29609249853601,"Observed"
"bbs_rtrg_113_68","ratio_sim",0.797619752470213,"Abundance driven"
"bbs_rtrg_113_68","ratio_real",2.41990305052374,"Observed"
