"matssname","source","energy_ratio","Dynamics"
"bbs_rtrg_1_2","ratio_sim",0.397191098373041,"Abundance driven"
"bbs_rtrg_1_2","ratio_real",0.397191098373041,"Observed"
"bbs_rtrg_1_21","ratio_sim",0.800990466746325,"Abundance driven"
"bbs_rtrg_1_21","ratio_real",0.800990466746325,"Observed"
"bbs_rtrg_1_36","ratio_sim",0.709962887289457,"Abundance driven"
"bbs_rtrg_1_36","ratio_real",0.709962887289457,"Observed"
"bbs_rtrg_1_46","ratio_sim",0.688621708740566,"Abundance driven"
"bbs_rtrg_1_46","ratio_real",0.688621708740566,"Observed"
"bbs_rtrg_1_47","ratio_sim",0.545049139891293,"Abundance driven"
"bbs_rtrg_1_47","ratio_real",0.545049139891293,"Observed"
"bbs_rtrg_1_52","ratio_sim",0.744651829209067,"Abundance driven"
"bbs_rtrg_1_52","ratio_real",0.744651829209067,"Observed"
"bbs_rtrg_1_58","ratio_sim",0.661249835526159,"Abundance driven"
"bbs_rtrg_1_58","ratio_real",0.661249835526159,"Observed"
"bbs_rtrg_1_64","ratio_sim",1.82585145478895,"Abundance driven"
"bbs_rtrg_1_64","ratio_real",1.82585145478895,"Observed"
"bbs_rtrg_1_81","ratio_sim",0.512215694792541,"Abundance driven"
"bbs_rtrg_1_81","ratio_real",0.512215694792541,"Observed"
"bbs_rtrg_1_82","ratio_sim",1.84581198382967,"Abundance driven"
"bbs_rtrg_1_82","ratio_real",1.84581198382967,"Observed"
"bbs_rtrg_1_83","ratio_sim",0.652376780002302,"Abundance driven"
"bbs_rtrg_1_83","ratio_real",0.652376780002302,"Observed"
"bbs_rtrg_1_89","ratio_sim",1.80675989554548,"Abundance driven"
"bbs_rtrg_1_89","ratio_real",1.80675989554548,"Observed"
"bbs_rtrg_10_25","ratio_sim",0.379445797341772,"Abundance driven"
"bbs_rtrg_10_25","ratio_real",0.379445797341772,"Observed"
"bbs_rtrg_10_27","ratio_sim",1.28306223418612,"Abundance driven"
"bbs_rtrg_10_27","ratio_real",1.28306223418612,"Observed"
"bbs_rtrg_10_33","ratio_sim",3.59907238681441,"Abundance driven"
"bbs_rtrg_10_33","ratio_real",3.59907238681441,"Observed"
"bbs_rtrg_10_34","ratio_sim",0.762899972997089,"Abundance driven"
"bbs_rtrg_10_34","ratio_real",0.762899972997089,"Observed"
"bbs_rtrg_10_35","ratio_sim",0.696748142119327,"Abundance driven"
"bbs_rtrg_10_35","ratio_real",0.696748142119327,"Observed"
"bbs_rtrg_10_4","ratio_sim",1.91049037583194,"Abundance driven"
"bbs_rtrg_10_4","ratio_real",1.91049037583194,"Observed"
"bbs_rtrg_10_52","ratio_sim",0.772189061426946,"Abundance driven"
"bbs_rtrg_10_52","ratio_real",0.772189061426946,"Observed"
"bbs_rtrg_10_59","ratio_sim",0.510255433097772,"Abundance driven"
"bbs_rtrg_10_59","ratio_real",0.510255433097772,"Observed"
"bbs_rtrg_10_64","ratio_sim",2.14183310668165,"Abundance driven"
"bbs_rtrg_10_64","ratio_real",2.14183310668165,"Observed"
"bbs_rtrg_10_7","ratio_sim",0.606490131213639,"Abundance driven"
"bbs_rtrg_10_7","ratio_real",0.606490131213639,"Observed"
"bbs_rtrg_10_82","ratio_sim",0.582914505103619,"Abundance driven"
"bbs_rtrg_10_82","ratio_real",0.582914505103619,"Observed"
"bbs_rtrg_10_87","ratio_sim",0.505519704271035,"Abundance driven"
"bbs_rtrg_10_87","ratio_real",0.505519704271035,"Observed"
"bbs_rtrg_10_91","ratio_sim",0.698338468405074,"Abundance driven"
"bbs_rtrg_10_91","ratio_real",0.698338468405074,"Observed"
"bbs_rtrg_100_61","ratio_sim",0.430892256985791,"Abundance driven"
"bbs_rtrg_100_61","ratio_real",0.430892256985791,"Observed"
"bbs_rtrg_101_42","ratio_sim",0.635314270140033,"Abundance driven"
